---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 13:33:59 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.mgr.flows_notimeout                                     | Total                     | 2607
flow.mgr.flows_timeout                                       | Total                     | 2053
flow.mgr.flows_evicted                                       | Total                     | 2053
flow.mgr.flows_evicted_needs_work                            | Total                     | 10
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2043
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 127
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 344064
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7580256
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:44:35 (uptime: 0d, 00h 10m 40s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8938
capture.afpacket.polls                                       | Total                     | 19112
capture.afpacket.poll_timeout                                | Total                     | 18830
capture.afpacket.poll_data                                   | Total                     | 282
decoder.pkts                                                 | Total                     | 8938
decoder.bytes                                                | Total                     | 5983342
decoder.ipv4                                                 | Total                     | 8863
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 8938
decoder.arp                                                  | Total                     | 24
decoder.tcp                                                  | Total                     | 8795
tcp.syn                                                      | Total                     | 4043
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 4023
tcp.urg                                                      | Total                     | 10
decoder.udp                                                  | Total                     | 88
decoder.icmpv4                                               | Total                     | 12
decoder.icmpv6                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 669
decoder.max_pkt_size                                         | Total                     | 64294
tcp.active_sessions                                          | Total                     | 2017
flow.total                                                   | Total                     | 4082
flow.active                                                  | Total                     | 2025
flow.tcp                                                     | Total                     | 4045
flow.udp                                                     | Total                     | 26
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 97
flow.wrk.spare_sync                                          | Total                     | 43
flow.wrk.spare_sync_incomplete                               | Total                     | 11
decoder.event.icmpv4.unknown_code                            | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 10
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_evicted                                       | Total                     | 3
flow.wrk.flows_injected                                      | Total                     | 10
tcp.sessions                                                 | Total                     | 4035
tcp.ssn_from_cache                                           | Total                     | 10
tcp.ssn_from_pool                                            | Total                     | 4025
tcp.segment_from_cache                                       | Total                     | 128
tcp.segment_from_pool                                        | Total                     | 12
tcp.stream_depth_reached                                     | Total                     | 1
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 18
app_layer.flow.mdns                                          | Total                     | 15
app_layer.flow.failed_udp                                    | Total                     | 11
app_layer.tx.mdns                                            | Total                     | 57
flow.end.state.new                                           | Total                     | 39
flow.end.state.closed                                        | Total                     | 2018
flow.end.tcp_state.closed                                    | Total                     | 2018
flow.mgr.full_hash_pass                                      | Total                     | 64
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9007
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 5667
flow.mgr.flows_notimeout                                     | Total                     | 3613
flow.mgr.flows_timeout                                       | Total                     | 2054
flow.mgr.flows_evicted                                       | Total                     | 2054
flow.mgr.flows_evicted_needs_work                            | Total                     | 10
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2044
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 127
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 378880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7580256
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:44:43 (uptime: 0d, 00h 10m 48s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8938
capture.afpacket.polls                                       | Total                     | 19289
capture.afpacket.poll_timeout                                | Total                     | 19007
capture.afpacket.poll_data                                   | Total                     | 282
decoder.pkts                                                 | Total                     | 8938
decoder.bytes                                                | Total                     | 5983342
decoder.ipv4                                                 | Total                     | 8863
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 8938
decoder.arp                                                  | Total                     | 24
decoder.tcp                                                  | Total                     | 8795
tcp.syn                                                      | Total                     | 4043
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 4023
tcp.urg                                                      | Total                     | 10
decoder.udp                                                  | Total                     | 88
decoder.icmpv4                                               | Total                     | 12
decoder.icmpv6                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 669
decoder.max_pkt_size                                         | Total                     | 64294
tcp.active_sessions                                          | Total                     | 2017
flow.total                                                   | Total                     | 4082
flow.active                                                  | Total                     | 2025
flow.tcp                                                     | Total                     | 4045
flow.udp                                                     | Total                     | 26
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 97
flow.wrk.spare_sync                                          | Total                     | 43
flow.wrk.spare_sync_incomplete                               | Total                     | 11
decoder.event.icmpv4.unknown_code                            | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 10
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_evicted                                       | Total                     | 3
flow.wrk.flows_injected                                      | Total                     | 10
tcp.sessions                                                 | Total                     | 4035
tcp.ssn_from_cache                                           | Total                     | 10
tcp.ssn_from_pool                                            | Total                     | 4025
tcp.segment_from_cache                                       | Total                     | 128
tcp.segment_from_pool                                        | Total                     | 12
tcp.stream_depth_reached                                     | Total                     | 1
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 18
app_layer.flow.mdns                                          | Total                     | 15
app_layer.flow.failed_udp                                    | Total                     | 11
app_layer.tx.mdns                                            | Total                     | 57
flow.end.state.new                                           | Total                     | 39
flow.end.state.closed                                        | Total                     | 2018
flow.end.tcp_state.closed                                    | Total                     | 2018
flow.mgr.full_hash_pass                                      | Total                     | 64
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9008
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 6301
flow.mgr.flows_notimeout                                     | Total                     | 4247
flow.mgr.flows_timeout                                       | Total                     | 2054
flow.mgr.flows_evicted                                       | Total                     | 2054
flow.mgr.flows_evicted_needs_work                            | Total                     | 10
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2044
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 127
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 378880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7580256
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:44:51 (uptime: 0d, 00h 10m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8938
capture.afpacket.polls                                       | Total                     | 19558
capture.afpacket.poll_timeout                                | Total                     | 19276
capture.afpacket.poll_data                                   | Total                     | 282
decoder.pkts                                                 | Total                     | 8938
decoder.bytes                                                | Total                     | 5983342
decoder.ipv4                                                 | Total                     | 8863
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 8938
decoder.arp                                                  | Total                     | 24
decoder.tcp                                                  | Total                     | 8795
tcp.syn                                                      | Total                     | 4043
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 4023
tcp.urg                                                      | Total                     | 10
decoder.udp                                                  | Total                     | 88
decoder.icmpv4                                               | Total                     | 12
decoder.icmpv6                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 669
decoder.max_pkt_size                                         | Total                     | 64294
tcp.active_sessions                                          | Total                     | 2017
flow.total                                                   | Total                     | 4082
flow.active                                                  | Total                     | 2025
flow.tcp                                                     | Total                     | 4045
flow.udp                                                     | Total                     | 26
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 97
flow.wrk.spare_sync                                          | Total                     | 43
flow.wrk.spare_sync_incomplete                               | Total                     | 11
decoder.event.icmpv4.unknown_code                            | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 10
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_evicted                                       | Total                     | 3
flow.wrk.flows_injected                                      | Total                     | 10
tcp.sessions                                                 | Total                     | 4035
tcp.ssn_from_cache                                           | Total                     | 10
tcp.ssn_from_pool                                            | Total                     | 4025
tcp.segment_from_cache                                       | Total                     | 128
tcp.segment_from_pool                                        | Total                     | 12
tcp.stream_depth_reached                                     | Total                     | 1
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 18
app_layer.flow.mdns                                          | Total                     | 15
app_layer.flow.failed_udp                                    | Total                     | 11
app_layer.tx.mdns                                            | Total                     | 57
flow.end.state.new                                           | Total                     | 39
flow.end.state.closed                                        | Total                     | 2018
flow.end.tcp_state.closed                                    | Total                     | 2018
flow.mgr.full_hash_pass                                      | Total                     | 65
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9008
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 6418
flow.mgr.flows_notimeout                                     | Total                     | 4364
flow.mgr.flows_timeout                                       | Total                     | 2054
flow.mgr.flows_evicted                                       | Total                     | 2054
flow.mgr.flows_evicted_needs_work                            | Total                     | 10
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2044
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 127
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 378880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7580256
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:44:59 (uptime: 0d, 00h 11m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8938
capture.afpacket.polls                                       | Total                     | 19825
capture.afpacket.poll_timeout                                | Total                     | 19543
capture.afpacket.poll_data                                   | Total                     | 282
decoder.pkts                                                 | Total                     | 8938
decoder.bytes                                                | Total                     | 5983342
decoder.ipv4                                                 | Total                     | 8863
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 8938
decoder.arp                                                  | Total                     | 24
decoder.tcp                                                  | Total                     | 8795
tcp.syn                                                      | Total                     | 4043
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 4023
tcp.urg                                                      | Total                     | 10
decoder.udp                                                  | Total                     | 88
decoder.icmpv4                                               | Total                     | 12
decoder.icmpv6                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 669
decoder.max_pkt_size                                         | Total                     | 64294
tcp.active_sessions                                          | Total                     | 2017
flow.total                                                   | Total                     | 4082
flow.active                                                  | Total                     | 2025
flow.tcp                                                     | Total                     | 4045
flow.udp                                                     | Total                     | 26
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 97
flow.wrk.spare_sync                                          | Total                     | 43
flow.wrk.spare_sync_incomplete                               | Total                     | 11
decoder.event.icmpv4.unknown_code                            | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 10
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_evicted                                       | Total                     | 3
flow.wrk.flows_injected                                      | Total                     | 10
tcp.sessions                                                 | Total                     | 4035
tcp.ssn_from_cache                                           | Total                     | 10
tcp.ssn_from_pool                                            | Total                     | 4025
tcp.segment_from_cache                                       | Total                     | 128
tcp.segment_from_pool                                        | Total                     | 12
tcp.stream_depth_reached                                     | Total                     | 1
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 18
app_layer.flow.mdns                                          | Total                     | 15
app_layer.flow.failed_udp                                    | Total                     | 11
app_layer.tx.mdns                                            | Total                     | 57
flow.end.state.new                                           | Total                     | 39
flow.end.state.closed                                        | Total                     | 2018
flow.end.tcp_state.closed                                    | Total                     | 2018
flow.mgr.full_hash_pass                                      | Total                     | 66
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9008
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 6418
flow.mgr.flows_notimeout                                     | Total                     | 4364
flow.mgr.flows_timeout                                       | Total                     | 2054
flow.mgr.flows_evicted                                       | Total                     | 2054
flow.mgr.flows_evicted_needs_work                            | Total                     | 10
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2044
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 127
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 378880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7580256
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:45:07 (uptime: 0d, 00h 11m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8938
capture.afpacket.polls                                       | Total                     | 20003
capture.afpacket.poll_timeout                                | Total                     | 19721
capture.afpacket.poll_data                                   | Total                     | 282
decoder.pkts                                                 | Total                     | 8938
decoder.bytes                                                | Total                     | 5983342
decoder.ipv4                                                 | Total                     | 8863
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 8938
decoder.arp                                                  | Total                     | 24
decoder.tcp                                                  | Total                     | 8795
tcp.syn                                                      | Total                     | 4043
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 4023
tcp.urg                                                      | Total                     | 10
decoder.udp                                                  | Total                     | 88
decoder.icmpv4                                               | Total                     | 12
decoder.icmpv6                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 669
decoder.max_pkt_size                                         | Total                     | 64294
tcp.active_sessions                                          | Total                     | 2017
flow.total                                                   | Total                     | 4082
flow.active                                                  | Total                     | 2024
flow.tcp                                                     | Total                     | 4045
flow.udp                                                     | Total                     | 26
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 97
flow.wrk.spare_sync                                          | Total                     | 43
flow.wrk.spare_sync_incomplete                               | Total                     | 11
decoder.event.icmpv4.unknown_code                            | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 10
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_evicted                                       | Total                     | 3
flow.wrk.flows_injected                                      | Total                     | 10
tcp.sessions                                                 | Total                     | 4035
tcp.ssn_from_cache                                           | Total                     | 10
tcp.ssn_from_pool                                            | Total                     | 4025
tcp.segment_from_cache                                       | Total                     | 128
tcp.segment_from_pool                                        | Total                     | 12
tcp.stream_depth_reached                                     | Total                     | 1
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 18
app_layer.flow.mdns                                          | Total                     | 15
app_layer.flow.failed_udp                                    | Total                     | 11
app_layer.tx.mdns                                            | Total                     | 57
flow.end.state.new                                           | Total                     | 40
flow.end.state.closed                                        | Total                     | 2018
flow.end.tcp_state.closed                                    | Total                     | 2018
flow.mgr.full_hash_pass                                      | Total                     | 67
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9008
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 6419
flow.mgr.flows_notimeout                                     | Total                     | 4364
flow.mgr.flows_timeout                                       | Total                     | 2055
flow.mgr.flows_evicted                                       | Total                     | 2055
flow.mgr.flows_evicted_needs_work                            | Total                     | 10
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 2045
flow.recycler.queue_avg                                      | Total                     | 3
flow.recycler.queue_max                                      | Total                     | 127
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 378880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7580256
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:45:15 (uptime: 0d, 00h 11m 20s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8938
capture.afpacket.polls                                       | Total                     | 20270
capture.afpacket.poll_timeout                                | Total                     | 19988
capture.afpacket.poll_data                                   | Total                     | 282
decoder.pkts                                                 | Total                     | 8938
decoder.bytes                                                | Total                     | 5983342
decoder.ipv4                                                 | Total                     | 8863
decoder.ipv6                                                 | Total                     | 51
decoder.ethernet                                             | Total                     | 8938
decoder.arp                                                  | Total                     | 24
decoder.tcp                                                  | Total                     | 8795
tcp.syn                                                      | Total                     | 4043
tcp.synack                                                   | Total                     | 37
tcp.rst                                                      | Total                     | 4023
tcp.urg                                                      | Total                     | 10
decoder.udp                                                  | Total                     | 88
decoder.icmpv4                                               | Total                     | 12
decoder.icmpv6                                               | Total                     | 19
decoder.avg_pkt_size                                         | Total                     | 669
decoder.max_pkt_size                                         | Total                     | 64294
tcp.active_sessions                                          | Total                     | 2017
flow.total                                                   | Total                     | 4082
flow.active                                                  | Total                     | 2023
flow.tcp                                                     | Total                     | 4045
flow.udp                                                     | Total                     | 26
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 10
flow.wrk.spare_sync_avg                                      | Total                     | 97
flow.wrk.spare_sync                                          | Total                     | 43
flow.wrk.spare_sync_incomplete                               | Total                     | 11
decoder.event.icmpv4.unknown_code                            | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 9
flow.wrk.flows_evicted_needs_work                            | Total                     | 10
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 19
flow.wrk.flows_evicted                                       | Total                     | 3
flow.wrk.flows_injected                                      | Total                     | 10
tcp.sessions                                                 | Total                     | 4035
tcp.ssn_from_cache                                           | Total                     | 10
tcp.ssn_from_pool                                            | Total                     | 4025
tcp.segment_from_cache                                       | Total                     | 128
tcp.segment_from_pool                                        | Total                     | 12
tcp.stream_depth_reached                                     | Total                     | 1
app_layer.flow.tls                                           | Total                     | 1
app_layer.flow.ssh                                           | Total                     | 18
app_layer.flow.mdns                                          | Total                     | 15
app_layer.flow.failed_udp                                    | Total                     | 11
app_layer.tx.mdns                                            | Total                     | 57
flow.end.state.new                                           | Total                     | 41
flow.end.state.closed                                        | Total                     | 2018
flow.end.tcp_state.closed                                    | Total                     | 2018
flow.mgr.full_hash_pass                                      | Total                     | 67
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9010
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 6420
